date,index_usd_per_mtok
2026-02-23,4.56
2026-04-27,4.56
2026-06-01,4.56
2026-06-23,4.56
2026-06-25,4.56
2026-06-27,4.56
2026-06-29,4.56
2026-06-30,4.56
2026-07-01,4.56
2026-07-02,4.56
2026-07-03,4.56
2026-07-04,4.56
2026-07-05,4.56
2026-07-06,4.56
2026-07-07,4.56
2026-07-08,4.56
2026-07-09,4.56
2026-07-10,4.56
2026-07-11,4.56
2026-07-12,4.56
2026-07-13,4.56
2026-07-14,4.56
2026-07-15,4.56
2026-07-16,4.56
2026-07-17,4.56
2026-07-18,4.25
2026-07-19,4.25
2026-07-20,4.25
2026-07-21,4.25
2026-07-22,4.25
2026-07-23,4.25
2026-07-24,4.25
2026-07-25,4.39
2026-07-26,4.39
2026-07-27,4.39
2026-07-28,4.39
2026-07-29,4.39
2026-07-30,4.39
2026-07-31,4.39
2026-08-01,4.39
2026-08-02,4.39
2026-08-03,4.39
